2014-10-15 22:46:39,944 INFO  - Application started.
2014-10-15 22:46:41,765 INFO  - Config file loaded.
2014-10-15 22:46:42,445 INFO  - Database connection successful (localhost:3306/genericdwh).
2014-10-15 22:46:42,446 INFO  - Config file saved.
2014-10-15 22:53:59,464 INFO  - Executing Query ...
2014-10-15 22:53:59,465 INFO  - Query parameters - Column Dimensions: [Jahre-Monate-Tage], Row Dimensions: [], Filtered Reference Objects: [], Ratios: []
2014-10-15 22:53:59,481 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` where (`facts`.`ratio_id` = 1 and `reference_objects`.`dimension_id` = 1)
2014-10-15 22:53:59,486 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` where (`facts`.`ratio_id` = 2 and `reference_objects`.`dimension_id` = 1)
2014-10-15 22:53:59,504 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` where (`facts`.`ratio_id` = 3 and `reference_objects`.`dimension_id` = 1)
2014-10-15 22:53:59,505 INFO  - Query executed successfully.
2014-10-15 23:02:02,715 INFO  - Executing Query ...
2014-10-15 23:02:02,715 INFO  - Query parameters - Column Dimensions: [Jahre-Monate-Tage, Kontinente-Länder], Row Dimensions: [], Filtered Reference Objects: [], Ratios: []
2014-10-15 23:02:02,734 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 1 and `reference_objects`.`dimension_id` = -1)
2014-10-15 23:02:02,742 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 2 and `reference_objects`.`dimension_id` = -1)
2014-10-15 23:02:02,751 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 3 and `reference_objects`.`dimension_id` = -1)
2014-10-15 23:02:02,752 INFO  - No data for current hierarchy levels.
2014-10-15 23:02:05,461 INFO  - Executing Query ...
2014-10-15 23:02:05,462 INFO  - Query parameters - Column Dimensions: [Jahre-Monate-Tage, Kontinente-Länder], Row Dimensions: [], Filtered Reference Objects: [], Ratios: [Gewinne]
2014-10-15 23:02:05,473 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 1 and `reference_objects`.`dimension_id` = -1)
2014-10-15 23:02:05,474 INFO  - No data for current hierarchy levels.
2014-10-15 23:02:09,903 INFO  - Executing Query ...
2014-10-15 23:02:09,903 INFO  - Query parameters - Column Dimensions: [], Row Dimensions: [Jahre-Monate-Tage, Kontinente-Länder], Filtered Reference Objects: [], Ratios: []
2014-10-15 23:02:09,914 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 1 and `reference_objects`.`dimension_id` = -1)
2014-10-15 23:02:09,920 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 2 and `reference_objects`.`dimension_id` = -1)
